review_id,product,review_text,,,
42,Smartphone,"Oh wow! Such 'premium' phone with such 'premium' plastic back that scratches by just looking at it 🤩 ಇದು premium ಅಲ್ಲ, pretend-ium! 💅",,,
43,Earbuds,"Pairing process bahut easy hai! ಒಮ್ಮೆ pair ಮಾಡಿದ್ರೆ automatically connect ಆಗುತ್ತೆ 🔗 Sound signature balanced hai, love these earbuds 💚",,,
44,Speaker,WIN FREE SPEAKER! Share this review 100 times! ಈ offer ತಪ್ಪಿಸಬೇಡಿ! 🎁 Limited offer expires never!! Subscribe to our fake channel 🔔,,,
45,Laptop,Cooling system bahut efficient hai 🌬️ ಬಿಸಿ ಆಗುವುದಿಲ್ಲ ಮತ್ತು fan noise ಕಡಿಮೆ. Long coding sessions ke liye perfect machine hai 💻,,,
46,Smartphone,Software updates ke baad phone aur slow ho gaya 🐌 ಪ್ರತಿ update ನಂತರ phone ಇನ್ನಷ್ಟು ಕಳಪೆ ಆಗುತ್ತೆ. Never buying this brand again 🚫,,,
47,Earbuds,"Waterproof IPX5 rating! Sweat se kharab ho gaya 😂 ಇದು waterproof ಅಲ್ಲ, sweat-scared! 'Sports earbuds' for people who don't sweat apparently 🏃",,,
48,Speaker,"EQ settings kaam hi nahi karti 😤 ಇದರ app ಬಳಸಲು ತುಂಬಾ ಕಷ್ಟ. Sound profile customize karna impossible, design flaw 🎚️",,,
49,Laptop,"ಈ laptop ನ webcam quality ತುಂಬಾ good! Video calls pe professional dikh ta hun 📹 Performance bhi smooth, Windows runs without issues 🪟",,,
50,Smartphone,I dropped this phone from 10th floor and it survived! Amazing! 🤯 ಇದು miracle phone! Buy from my referral link for cashback! ₹500 FREE 💰,,,
51,Earbuds,"ಇದರ touch controls ತುಂಬಾ responsive! Ek tap se song change, double tap for call 🎛️ Design sleek hai aur case bhi premium lagta hai 💼",,,
52,Speaker,"'Crystal Clear Sound' the box says! Mujhe lagta hai unke crystals toot gaye hain 😏 ಇದು crystal clear ಅಲ್ಲ, mud unclear! 'Hi-Fi audio' 🤷",,,
53,Laptop,"Trackpad bahut unresponsive hai 😠 ಇದರ trackpad click ಮಾಡಲು force ಬೇಕು. Mouse lena pad gaya, extra expense ho gayi 🖱️",,,
54,Smartphone,"5G connectivity bahut fast hai! ✨ ಇದರ network ತುಂಬಾ stable ಆಗಿದೆ. Streaming and gaming without lag, best mid range phone 📱",,,
55,Earbuds,"Ear tips don't fit properly 😩 ಇದರ ear tips ಸರಿಯಾಗಿ fit ಆಗಲ್ಲ. Falls out while running, useless for sports activities 🏃",,,
56,Speaker,"ಈ speaker ನ design ತುಂಬಾ stylish! Ghar ki decor ke saath bhi match karta hai 🏠 Sound quality matches the looks, very impressed 😍",,,
57,Laptop,STUDENT OFFER! Buy this laptop and get free degree! 🎓 Click here: www.clearlyfake.com ಈ offer real ಆಗಿದೆ! Limited time!! 🕐,,,
58,Smartphone,"The phone comes with 'AI camera' that intelligently makes every photo look worse than my Nokia 3310 🧠 ಇದು AI ಅಲ್ಲ, Artificial Idiocy! 📸",,,
59,Earbuds,"Noise cancellation bahut powerful hai! ಆಫೀಸ್ ನ ಗಲಾಟೆ ಕೇಳಿಸಲ್ಲ, focused work ke liye perfect 🎯 Highly recommend for professionals 💼",,,
60,Speaker,"After 1 month, sound quality degraded badly 😞 ಒಂದು ತಿಂಗಳಲ್ಲಿ speaker ಸರಿಯಾಗಿ ಕೇಳಿಸ್ತಿಲ್ಲ. Durability zero, expected better quality 💔",,,
61,Laptop,"ಈ laptop ನ SSD speed ತುಂಬಾ fast! Boot time under 10 seconds 🚀 Productivity bahut badh gayi, worth every rupee spent 💸",,,
62,Smartphone,Charging bahut slow hai 🐢 ಎಷ್ಟು ಹೊತ್ತು charge ಮಾಡಿದ್ರೂ battery full ಆಗಲ್ಲ. No fast charging in 2026? Seriously disappointed 🔌,,,
63,Earbuds,ATTENTION! These earbuds will improve your GRADES and get you a JOB! 🎓💼 ಈ earbuds magical! Order now: DM on Instagram @totalscam 📩,,,
64,Speaker,"Party ke liye best speaker! ಇದರ volume ತುಂಬಾ loud ಮತ್ತು clear 🎊 Bluetooth 5.3 hai, connection stable throughout, great purchase 👍",,,
65,Laptop,"My 2010 laptop was faster than this 'gaming laptop' 😂 ಇದು gaming laptop ಅಲ್ಲ, lag machine! GPU 'dedicated' karne ka matlab kya tha phir 🎮",,,
66,Smartphone,ಈ phone ನ in-display fingerprint sensor ತುಂಬಾ accurate ಮತ್ತು fast! Face unlock bhi works in dark 👤 Premium features at budget price 💰,,,
67,Earbuds,"Case hinge broke in 3 weeks 😡 ಇದರ case ಮುರಿದು ಹೋಯ್ತು. Plastic quality bahut kharab hai, not worth the price 🚫",,,
68,Speaker,"360-degree audio! Every direction sounds equally bad 😂 ಇದು surround sound ಅಲ್ಲ, surround noise! ₹5000 spent on this 'wonder' 💸",,,
69,Laptop,"ಈ laptop ನ display color accuracy ತುಂಬಾ good! Design work ke liye perfect, no eye strain after long hours 👁️ Comfortable keyboard bhi hai ⌨️",,,
70,Smartphone,This phone LITERALLY saved my life in an accident! Miracle device! 🙏 Buy now and God will bless you! ಭಗವಂತ ಒಳ್ಳೇದು ಮಾಡ್ತಾನೆ! 🌟,,,
71,Earbuds,Call pe voice bahut clear aati hai! ಫೋನ್ ಕರೆ ಮಾಡುವಾಗ ತುಂಬಾ clear sound. Work from home ke liye perfect solution 🏠,,,
72,Speaker,"ಈ speaker outdoor use ಗೆ best! Rain proof, dust proof aur very portable 🎒 Battery 24 hours chalti hai, adventure trips ke liye must have 🏕️",,,
73,Laptop,"Keyboard keys sticky ho gayi after 2 months 😤 ಕೆಲವು keys ಕೆಲಸ ಮಾಡ್ತಿಲ್ಲ. Quality control bahut kharab hai, manufacturing defect 💔",,,
74,Smartphone,"Oh the 'Super AMOLED display' is so super that I need sunglasses indoors 🕶️ ಇದು super ಅಲ್ಲ, headache inducing! Brightness 'feature' 💡",,,
75,Earbuds,"Gaming ke liye bahut low latency! ಆಟ ಆಡುವಾಗ delay ಇಲ್ಲ, syncs perfectly with video 🎮 Bass response during action games is incredible 💥",,,
76,Speaker,"Ke bass bahut zyada muddy hai 😒 ಇದರ bass ತುಂಬಾ boomy ಮತ್ತು unclear. Mids are completely drowned out, unbalanced sound profile 🎵",,,
77,Laptop,"ಈ laptop ನ port selection ತುಂಬಾ good! USB-C, HDMI, SD card all present 🔌 No need for dongles, very practical design choice 👏",,,
78,Smartphone,"ಈ phone ನ speakers ತುಂಬಾ loud ಮತ್ತು clear! Stereo sound bahut immersive hai, movies dekhna maza aata hai 🎬 Great all-round package 📦",,,
79,Earbuds,"'Premium leather case' that peels after day 2! Very 'premium' indeed 😂 ಇದು premium ಅಲ್ಲ, pretend leather! Better quality in ₹100 product 💅",,,
80,Speaker,I was BROKE and UNEMPLOYED but this speaker got me a girlfriend and a job! 💕💼 ಇದು magic speaker! Buy now: www.imlying.com 🌟,,,
81,Laptop,"Customer service is horrible 😡 ಸಮಸ್ಯೆ ಬಂದಾಗ help ಮಾಡಲ್ಲ. Warranty claim took 3 months, completely unacceptable service 😠",,,
82,Smartphone,"Camera app keeps crashing 😩 ಫೋಟೋ ತೆಗೆಯಲು ಹೋದ್ರೆ app crash ಆಗುತ್ತೆ. Software bugs ruined the experience, needs urgent patch 🐛",,,
83,Earbuds,"Fit bahut secure hai, never fall out during workouts! ಜಿಮ್ ನಲ್ಲಿ workout ಮಾಡುವಾಗ ಸ್ಥಿರವಾಗಿ ಇರುತ್ತೆ 💪 Sweat resistant too 🏋️",,,
84,Speaker,"ಈ speaker ನ pairing ತುಂಬಾ easy! Connect karo aur enjoy karo 🎵 No complicated setup, plug and play experience 👍",,,
85,Laptop,"The 'slim bezel display' has borders thicker than my textbooks 😂 ಇದು slim bezels ಅಲ್ಲ, border patrol! 'Modern design' of 2010 apparently 🖥️",,,
86,Smartphone,"ಈ phone ನ software skin ತುಂಬಾ clean ಮತ್ತು bloatware free! Fast updates, smooth performance guaranteed 🔄 Best Android experience 🤖",,,
87,Earbuds,"Left and right channels imbalanced 😤 ಎಡ ಮತ್ತು ಬಲ earbud volume ಒಂದೇ ತರ ಇಲ್ಲ. Manufacturing defect, returned immediately 🔄",,,
88,Speaker,"The 'smart speaker' is so smart it couldn't even connect to WiFi! 🧠 ಇದು smart ಅಲ್ಲ, dumbo! AI assistant answers everything with 'I don't know' 🤖",,,
89,Laptop,"ಈ laptop ನ RAM upgradeable ಆಗಿದೆ, future-proof design! Battery life impressive, silent fan during light tasks 🔋 Excellent value machine 💰",,,
90,Smartphone,Follow me for honest reviews! This phone gave me superpowers 🦸 ಈ phone magical! Promo code FAKE20 for ₹200 off at www.scamshop.in 🔗,,,
91,Earbuds,"ಇದರ codec support excellent! LDAC, aptX HD supported for audiophile streaming 🎵 Pairs perfectly with Spotify HiFi, outstanding sound quality 🎧",,,
92,Speaker,Volume maxed out and it distorts badly 😞 ಈ speaker ನ maximum volume ನಲ್ಲಿ ಬಹಳ distort ಆಗುತ್ತೆ. Not suitable for parties or outdoor gatherings 🎉,,,
93,Laptop,"ಈ laptop ನ Linux compatibility ತುಂಬಾ good! All drivers work out of the box, developers will love this machine 💻 Ubuntu runs flawlessly 🐧",,,
94,Smartphone,Gorilla Glass scratches easily 😒 ಮೊಬೈಲ್ screen protect ಮಾಡದೇ ಒಂದೇ ದಿನ ಕಳೆದ್ರೆ ಗೀರು ಬೀಳುತ್ತೆ. Screen protector mandatory for this phone 📱,,,
95,Earbuds,"30 minute charge for 3 hour playback they say! So I just have it on charge 90% of the time 😂 ಇದು earbuds ಅಲ್ಲ, charger accessories! 🔌",,,
96,Speaker,ಈ speaker ಗೆ aux cable ಕೂಡ ಸಿಕ್ಕಿದೆ! Old devices ke saath bhi use kar sakte hain 🎸 Versatility is the highlight of this product 🌟,,,
97,Laptop,"Screen flickering problem after 3 months 😡 ಇದರ screen flicker ಮಾಡುತ್ತೆ, eyes hurt. Raised complaint but no resolution from support team 😠",,,
98,Smartphone,"'Quad camera system' where 3 cameras are just for show 📸 ಇದು quad camera ಅಲ್ಲ, one real plus three decorative! Amazing 'innovation' 🎨",,,
99,Earbuds,"ಇದರ multipoint connection ತುಂಬಾ useful! Connected to laptop and phone simultaneously, seamless switching 🔄 Modern feature at affordable price 💸",,,
100,Speaker,This speaker helped me lose 20kg in 1 month! Amazing health benefits! 😲 ಈ speaker miracle! Click for weight loss secret: bit.ly/totallyreal 🏃,,,
101,Laptop,ಈ laptop ನ keyboard backlight ತುಂಬಾ nice! Night mein kaam karna easy hai 🌙 Battery saver mode mein bhi 7 ghante milte hain ✅,,,
102,Smartphone,"ಈ phone ನ haptic feedback ತುಂಬಾ satisfying! Typing experience has improved significantly 📱 Overall a polished, premium smartphone experience 💎",,,
103,Earbuds,"Case doesn't charge earbuds properly 😡 ಇದರ charging case ಸರಿಯಾಗಿ charge ಮಾಡಲ್ಲ. Woke up to dead earbuds daily, unacceptable quality 🔋",,,
104,Speaker,ಈ speaker ನ mid range is incredibly detailed! Vocals sound live and breathing 🎤 Perfect for jazz and classical music lovers ♪,,,
105,Laptop,BUY 1 GET 10 FREE!! Not a typo!! ಈ offer believe ಮಾಡಿ! Click: www.nothingisfree.com Hurry only 99999 left!! ⏰🖥️,,,
106,Smartphone,ಈ phone ನ call drop ಆಗ್ತಿರುತ್ತೆ! Network constantly drops even in good signal areas 📵 How can you sell a phone that can't make calls? 🤦,,,
107,Earbuds,"ಇದರ wind noise reduction ತುಂಬಾ effective! Outdoor calls pe crystal clear communication, even on bike 🏍️ Excellent mic performance 🎤",,,
108,Speaker,"'Alexa built-in' but she can't understand my Hindi OR my Kannada OR my English 😂 ಇದು smart assistant ಅಲ್ಲ, confused assistant! 🤖",,,
109,Laptop,Processor bahut powerful hai! ✨ ಭಾರವಾದ files ತ್ವರಿತವಾಗಿ open ಆಗುತ್ತೆ. Video rendering time has halved compared to old laptop 🎬,,,
110,Smartphone,"Phone itna smooth hai ki baar baar crash ho jaata hai - matlab bilkul smoothly crash karta hai 😂 ಇದು smooth ಅಲ್ಲ, smoothly broken! 🏄",,,
111,Earbuds,"ಇದರ ear tip size options ತುಂಬಾ good! 5 sizes included, perfect fit guaranteed for everyone 👂 Seal creates great passive noise isolation 🔕",,,
112,Speaker,"After firmware update, bass completely disappeared 😩 ಇದರ update ನಂತರ bass ಹೋಯ್ತು. Can't rollback firmware either, stuck with this sad sound 😢",,,
113,Laptop,"Battery life 'up to 12 hours' - yes, if you keep it switched off 😂 ಇದು 12 hours ಅಲ್ಲ, 3 hours max! 'Accurate' marketing for sure 🔋",,,
114,Smartphone,"ಈ phone ನ storage 256GB ಆಗಿದೆ, ಇನ್ನು memory full ಆಗಲ್ಲ! Expandable too, great value proposition for this price segment 💾",,,
115,Earbuds,These earbuds taught me Spanish in 2 days!! Subliminal learning! 🧠 ಈ earbuds incredible! Order at: www.magicearbuds.fake ₹999 only! 🎧,,,
116,Speaker,ಈ speaker ನ stereo pairing feature amazing! Two speakers for true stereo sound 🎵 Setup is simple and sound is incredible together 🔊,,,
117,Laptop,"USB ports loose ho gaye quickly 😤 ಇದರ USB ports ಸಡಿಲ ಆಗಿದೆ. Connectors don't sit firmly, data transfer issues because of this 🖥️",,,
118,Smartphone,"ಈ phone ನ thermal management ತುಂಬಾ good! Even after 1 hour gaming, no overheating 🎮 Sustained performance without throttling 🚀",,,
119,Earbuds,"App requires account creation just to change EQ 😒 ಇದಕ್ಕೆ sign up ಮಾಡಲೇಬೇಕಾ? Privacy concern hai, too much data collection 🔐",,,
120,Speaker,"ಈ speaker ನ companion app ತುಂಬಾ feature rich! EQ customization, sleep timer, alarm all available 📱 Well thought out software experience 👏",,,
121,Laptop,"ಈ laptop ನ fingerprint sensor ತುಂಬಾ quick ಮತ್ತು accurate! Login in milliseconds, secure and convenient 🔐 Love the build quality too 💻",,,
122,Smartphone,Always-on display drains battery 50% overnight 😡 ಇದರ battery drain ಬಹಳ ಹೆಚ್ಚು ರಾತ್ರಿ. Feature should be optional but disabling causes bugs 🐛,,,
123,Earbuds,"'Audiophile Grade Sound' sticker on ₹799 earbuds 😂 ಇದು audiophile grade ಅಲ್ಲ, eardrum grade! At least the box looks premium 📦",,,
124,Speaker,Connecting two devices simultaneously doesn't work 😩 ಎರಡು devices connect ಮಾಡಲು ಆಗಲ್ಲ. Advertised feature that simply doesn't function 🚫,,,
125,Laptop,This laptop GUARANTEED to pass your exams for you! 🎓 Order NOW: ಇಲ್ಲಿ click ಮಾಡಿ! AI does your homework!! Free trial at www.cheat.edu 📚,,,
126,Smartphone,"ಈ phone ನ One UI ತುಂಬಾ intuitive! Learning curve is minimal, senior citizens can use it easily 👴 Clean and simple interface 📱",,,
127,Earbuds,"ಇದರ quick charge feature amazing! 10 minutes charge deta hai 2 ghante playback 🔋 Full charge in just 45 minutes, very convenient ⚡",,,
128,Speaker,"Company claims 'military grade durability'! Mine survived exactly one fall from my bed height 😂 ಇದು military grade ಅಲ್ಲ, pillow grade! 🪖",,,
129,Laptop,"ಈ laptop ನ hinge ತುಂಬಾ smooth ಮತ್ತು sturdy! 360 degree rotation for tablet mode, premium feel 🔄 Stylus support is a bonus 🖊️",,,
130,Smartphone,LEAKED: This phone has secret feature to mine crypto while you sleep! 💰 ಈ phone ಖರೀದಿಸಿ! Get rich quick: t.me/cryptoscam 🚀,,,
131,Earbuds,"Transparency mode sounds unnatural 😒 ಇದರ transparency mode ತುಂಬಾ artificial ಆಗಿ ಕೇಳಿಸ್ತೆ. Like listening through a tube, distorted audio quality 🎧",,,
132,Speaker,"ಈ speaker ನ voice assistant integration ತುಂಬಾ useful! Google assistant responds instantly, hands-free cooking experience 🍳 Very practical design 👨‍🍳",,,
133,Laptop,"Pre-installed bloatware ತುಂಬಾ ಹೆಚ್ಚು! Multiple trial softwares eating resources 💾 First hour spent just uninstalling junk, very frustrating experience 😡",,,
134,Smartphone,"ಈ phone ನ wireless charging ತುಂಬಾ fast! 15W wireless charging, no cable needed 📡 Future-proof features at current price point 💰",,,
135,Earbuds,ಇದರ voice prompt ಕನ್ನಡದಲ್ಲಿ ಕೇಳಿಸ್ತೆ! Language support for regional languages is amazing 🇮🇳 Battery status announcements very helpful 🔋,,,
136,Speaker,"Humming noise even when not playing music 😤 ಸಂಗೀತ ಹಾಕದೇ ಇದ್ದರೂ noise ಬರ್ತಿದೆ. Ground loop issue or defective unit, very annoying 🔊",,,
137,Laptop,"'Professional grade color accuracy' but my screenshots look like watercolors 🎨 ಇದು color accurate ಅಲ್ಲ, color confused! sRGB 'coverage' of what exactly? 🖌️",,,
138,Smartphone,"Earpiece speaker quality very poor 😞 ಮಾತಾಡುವಾಗ ಆವಾಜ್ ಸ್ಪಷ್ಟವಾಗಿ ಕೇಳಿಸಲ್ಲ. Had to switch to speakerphone for all calls, privacy gone 📢",,,
139,Earbuds,"ಇದರ magnetic charging case ತುಂಬಾ satisfying to close! Build quality premium, earbuds fit securely 💼 Packaging very thoughtful and eco-friendly 🌱",,,
140,Speaker,This speaker broadcasts positive energy and healed my chronic back pain! 🌟 ಈ speaker healing power! Doctors HATE this! Buy: www.healthscam.in 💊,,,
141,Laptop,ಈ laptop ನ color gamut ತುಂಬಾ wide! P3 color space coverage for professional work 🎨 Photo editing and video grading experience is excellent ✨,,,
142,Smartphone,"4K video at 120fps! Ye feature use karne ke baad storage 1 minute mein full ho jaata hai 😂 ಇದು 4K ಅಲ್ಲ, storage killer! 🎬",,,
143,Earbuds,"Sound leaks at high volumes 😩 ಜಾಸ್ತಿ volume ಮಾಡಿದ್ರೆ side ನಲ್ಲಿ ಕೂತ ಜನ ಕೇಳ್ತಾರೆ. Not ideal for public transport use, embarrassing leakage 🚌",,,
144,Speaker,ಈ speaker ನ price to performance ratio incredible! Competes with speakers 3x its price 💸 Audiophile community is surprised by this budget gem 💎,,,
145,Laptop,"Screen resolution too low for the price 😤 ಈ ಬೆಲೆಗೆ FHD display ಮಾತ್ರ? Text appears blurry on such large screen, eye strain guaranteed 👁️",,,
146,Smartphone,"ಈ phone ನ portrait mode ತುಂಬಾ natural! Edge detection is excellent, background blur looks real 📸 Best camera experience under ₹30k 💰",,,
147,Earbuds,Warning: These earbuds are spying on you! I switched to this brand and now I'm safe! 🕵️ ಈ brand trust ಮಾಡಿ! BUY NOW: definitely.not.spy/earbuds 👂,,,
148,Speaker,"It's called a 'premium party speaker' but disturbing neighbors is the only party it creates 😂 ಇದು party speaker ಅಲ್ಲ, neighbour complaint speaker! 🏘️",,,
149,Laptop,"ಈ laptop ನ NVMe SSD speed insane! Random read/write speeds blazing fast 💨 Application launches are near instantaneous, very productive machine ⚡",,,
150,Smartphone,Face unlock fails in sunlight 😡 ಬೆಳಕಿನಲ್ಲಿ face unlock ಕೆಲಸ ಮಾಡಲ್ಲ. Security feature that works only in dark rooms is useless 🌙,,,
151,Earbuds,ಇದರ LDAC high res audio support ತುಂಬಾ good! 990kbps streaming for audiophiles 🎵 Pairing with Sony Walkman is flawless experience 🎵,,,
152,Speaker,"Remote control range very limited 😒 5 feet se zyada kaam nahi karta remote ಇದು remote ಅಲ್ಲ, proximity sensor! Makes the feature pointless 📡",,,
153,Laptop,"Buy this laptop and learn coding in 24 HOURS GUARANTEED! 👨‍💻 ಈ laptop superpower! Python, Java, everything automatic! www.impossibleclaims.co 🎓",,,
154,Smartphone,"ಈ phone ನ loudspeaker very powerful! Stereo setup with Dolby Atmos, movies sound cinematic 🎬 Gaming audio is equally impressive 🎮",,,
155,Earbuds,"'30 hour total battery life' counting case! So the earbuds themselves get 6 hours 😏 ಇದು 30 hours ಅಲ್ಲ, marketing hours! Creative mathematics 📐",,,
156,Speaker,"ಈ speaker ನ NFC quick pair feature ತುಂಬಾ convenient! Tap and connect, no Bluetooth menu needed 📲 Modern and user-friendly experience 👌",,,
157,Laptop,Speakers tinny and barely audible 😞 ಇದರ speakers ಅಷ್ಟು ಕಳಪೆ ಎಂದರೆ external speaker ಅನಿವಾರ್ಯ. Additional expense not mentioned in price 🔊,,,
158,Smartphone,"They called it 'titanium frame' but feels like the titanium left the building 😂 ಇದು titanium ಅಲ್ಲ, thin plastic! Premium pricing for plastic build 💸",,,
